surveywave,id_state,id_school,id_teacher,treatment,strata,weight_lo,fpc_school,a_3,b_3,c_3,d_3,a_6,b_6,c_6,d_6,a_9,b_9,c_9,d_9,a_12,b_12,c_12,d_12,a_15,b_15,c_15,d_15,a_18,b_18,c_18,d_18,a_21,b_21,c_21,d_21,a_24,b_24,c_24,d_24,a_27,b_27,c_27,d_27,a_30,b_30,c_30,d_30,a_33,b_33,c_33,d_33,a_36,b_36,c_36,d_36,c16,c17,c18,c19,c20,c21,c22,c23,c24,praise,reprimand,n_interval_time,n_ped_positive
Round 1 Baseline,Katsina,391,1,Control,230,3,.3333333333333333,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,instructs / presents / dictates,English,writes on / reads from blackboard,None of the above,Explains,English,demonstrates / displays work,None of the above,instructs / presents / dictates,English,writes on / reads from blackboard,individual work,instructs / presents / dictates,English,writes on / reads from blackboard,individual work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,D,BC,,,f,2,No,5,,15,13.33333396911621
Round 1 Baseline,Katsina,391,2,Control,230,3,.3333333333333333,Explains,Hausa,moves around among students,respond to closed question,chants,English,writes on / reads from blackboard,individual work,chants,English,writes on / reads from blackboard,individual work,assists / group discussion,Teacher was silent,moves around among students,individual work,chants,English,writes on / reads from blackboard,individual work,instructs / presents / dictates,Hausa,demonstrates / displays work,group or pair work,None of the above,Hausa,None of the above,individual work,instructs / presents / dictates,Hausa,moves around among students,individual work,None of the above,Teacher was silent,moves around among students,individual work,None of the above,Teacher was silent,None of the above,individual work,None of the above,Teacher was silent,None of the above,individual work,None of the above,Hausa,None of the above,group or pair work,Yes,74,,ABC,,,c,4,No,5,,36,16.66666603088379
Round 1 Baseline,Katsina,391,3,Control,230,3,.3333333333333333,instructs / presents / dictates,English,writes on / reads from blackboard,respond to closed question,chants,English,writes on / reads from blackboard,individual work,closed question / response,Hausa,moves around among students,respond to closed question,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,None of the above,individual work,None of the above,Teacher was silent,None of the above,individual work,None of the above,Teacher was silent,None of the above,individual work,instructs / presents / dictates,English,writes on / reads from blackboard,None of the above,closed question / response,Hausa,moves around among students,individual work,None of the above,Teacher was silent,moves around among students,individual work,chants,English,moves around among students,individual work,Explains,Hausa,moves around among students,individual work,No,64,C,BC,,,b,1,No,11,,36,9.722222328186035
Round 1 Baseline,Katsina,391,4,Control,230,3,.3333333333333333,Explains,Hausa,moves around among students,None of the above,None of the above,Hausa,writes on / reads from blackboard,None of the above,open question / response,Hausa,moves around among students,respond to open question,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,English,writes on / reads from blackboard,individual work,Explains,Hausa,writes on / reads from blackboard,respond to closed question,instructs / presents / dictates,Hausa,None of the above,individual work,None of the above,Hausa,moves around among students,individual work,None of the above,Teacher was silent,writes on / reads from blackboard,individual work,None of the above,Teacher was silent,moves around among students,individual work,open question / response,Hausa,moves around among students,individual work,None of the above,Teacher was silent,None of the above,individual work,Yes,54,,ABC,,,c,3,No,3,3,36,26.38888931274414
Round 1 Baseline,Katsina,395,2,Control,230,3,.3333333333333333,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Teacher was silent,writes on / reads from blackboard,individual work,instructs / presents / dictates,Hausa,writes on / reads from blackboard,individual work,closed question / response,Hausa,None of the above,respond to closed question,instructs / presents / dictates,Hausa,None of the above,None of the above,instructs / presents / dictates,Hausa,uses textbook,individual work,instructs / presents / dictates,Hausa,writes on / reads from blackboard,individual work,assists / group discussion,Hausa,moves around among students,individual work,None of the above,Teacher was silent,None of the above,individual work,,,,,,,,,,,,,,112,B,ABC,,,c,2,No,7,,27,7.407407760620117
Round 1 Baseline,Katsina,395,3,Control,230,3,.3333333333333333,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,chants,Hausa,writes on / reads from blackboard,individual work,chants,Hausa,writes on / reads from blackboard,individual work,chants,Hausa,writes on / reads from blackboard,individual work,chants,Hausa,writes on / reads from blackboard,individual work,None of the above,Teacher was silent,moves around among students,individual work,None of the above,Teacher was silent,None of the above,individual work,None of the above,Teacher was silent,None of the above,individual work,chants,Hausa,writes on / reads from blackboard,individual work,None of the above,Teacher was silent,None of the above,individual work,chants,English,moves around among students,individual work,None of the above,Teacher was silent,None of the above,individual work,Yes,90,,ABC,,,a,4,No,12,2,36,2.777777910232544
Round 1 Baseline,Katsina,395,4,Control,230,3,.3333333333333333,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,None of the above,None of the above,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Hausa,None of the above,None of the above,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,None of the above,Other,None of the above,None of the above,None of the above,Other,None of the above,None of the above,None of the above,Teacher was silent,moves around among students,individual work,,,,,,,,,,30,D,ABC,,,e,4,No,2,1,30,1.666666746139526
Round 1 Baseline,Katsina,398,2,Treatment,231,4,.3333333333333333,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,uses materials (printed/improvised),individual work,Explains,Hausa,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Hausa,None of the above,individual work,assists / group discussion,Teacher was silent,moves around among students,individual work,assists / group discussion,Hausa,moves around among students,individual work,None of the above,Teacher was silent,moves around among students,individual work,None of the above,Teacher was silent,moves around among students,individual work,assists / group discussion,Hausa,moves around among students,individual work,,,,,,,,,,,,,,162,C,ABCD,,,b,2,No,3,6,27,33.33333206176758
Round 1 Baseline,Katsina,398,3,Treatment,231,4,.3333333333333333,chants,English,writes on / reads from blackboard,individual work,chants,English,writes on / reads from blackboard,individual work,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,chants,English,writes on / reads from blackboard,individual work,closed question / response,Hausa,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Hausa,None of the above,individual work,None of the above,Teacher was silent,None of the above,individual work,None of the above,Teacher was silent,None of the above,individual work,None of the above,Teacher was silent,None of the above,individual work,,,,,,,,,,57,B,BC,,,c,1,No,2,,30,0
Round 1 Baseline,Katsina,398,4,Treatment,231,4,.3333333333333333,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,None of the above,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Hausa,None of the above,individual work,None of the above,Teacher was silent,None of the above,individual work,None of the above,Teacher was silent,None of the above,individual work,None of the above,Teacher was silent,moves around among students,individual work,instructs / presents / dictates,Hausa,None of the above,individual work,assists / group discussion,Teacher was silent,moves around among students,individual work,None of the above,Teacher was silent,None of the above,individual work,None of the above,Teacher was silent,None of the above,individual work,Yes,59,,BCD,,,c,2,No,3,1,36,8.333333015441895
Round 1 Baseline,Katsina,401,1,Treatment,231,3,.3333333333333333,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,Explains,English,demonstrates / displays work,None of the above,closed question / response,Hausa,None of the above,respond to closed question,chants,English,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,None of the above,individual work,assists / group discussion,Teacher was silent,moves around among students,individual work,None of the above,Teacher was silent,None of the above,individual work,None of the above,English,writes on / reads from blackboard,individual work,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,,,,,,,,,,,,,,57,BC,ABC,,,e,1,No,3,1,27,12.96296215057373
Round 1 Baseline,Katsina,401,2,Treatment,231,3,.3333333333333333,Explains,English,demonstrates / displays work,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,closed question / response,Hausa,None of the above,respond to closed question,instructs / presents / dictates,Hausa,writes on / reads from blackboard,individual work,instructs / presents / dictates,Teacher was silent,writes on / reads from blackboard,individual work,assists / group discussion,English,moves around among students,individual work,Explains,Hausa,writes on / reads from blackboard,None of the above,,,,,,,,,,,,,,,,,,,,,,66,D,BC,,,d,2,No,7,3,21,26.19047737121582
Round 1 Baseline,Katsina,401,3,Treatment,231,3,.3333333333333333,Explains,Hausa,writes on / reads from blackboard,None of the above,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,Explains,English,writes on / reads from blackboard,None of the above,chants,English,writes on / reads from blackboard,None of the above,closed question / response,English,None of the above,individual work,instructs / presents / dictates,Hausa,None of the above,individual work,assists / group discussion,Hausa,moves around among students,individual work,assists / group discussion,Teacher was silent,None of the above,individual work,Explains,English,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Teacher was silent,None of the above,individual work,,,,,,,,,,75,A,BC,,,b,2,No,12,3,30,18.33333396911621
Round 1 Baseline,Katsina,401,4,Treatment,231,3,.3333333333333333,Explains,Hausa,demonstrates / displays work,None of the above,Explains,English,demonstrates / displays work,None of the above,closed question / response,Hausa,None of the above,individual work,closed question / response,English,writes on / reads from blackboard,individual work,closed question / response,Hausa,None of the above,individual work,instructs / presents / dictates,Hausa,writes on / reads from blackboard,individual work,assists / group discussion,Hausa,moves around among students,individual work,None of the above,Teacher was silent,None of the above,individual work,,,,,,,,,,,,,,,,,,40,D,ABC,,,f,2,No,2,,24,22.91666793823242
Round 1 Baseline,Katsina,407,1,Treatment,231,3,.3333333333333333,chants,English,None of the above,None of the above,Explains,English,writes on / reads from blackboard,None of the above,closed question / response,Hausa,moves around among students,None of the above,None of the above,Teacher was silent,moves around among students,respond to closed question,chants,English,demonstrates / displays work,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,A,ABC,,,f,1,Yes,9,,15,20
