"surveywave","state_id","school_id","n_teacher_id","teacher_srno","treatment","n_school_wt","strata","fpc_school","A05","A07","A09","A10","n_eligible_teacher","B01","B02","B03","B04","B06","B08","B10","B12","B14","B16"
2,1,53,5305,5,1,1.01434421539307,131,0.333333343267441,2,1,,,2,,,,,,,,,,
2,1,53,5306,6,1,1.01434421539307,131,0.333333343267441,2,2,2,2,1,1979,1,2,1997,1,1,1,2,2,2
2,1,53,5307,7,1,1.01434421539307,131,0.333333343267441,2,2,2,2,1,-8,1,1,2017,2,2,2,2,2,2
2,1,55,5501,1,1,1.01434421539307,131,0.333333343267441,2,2,2,2,1,1979,2,1,2017,1,1,2,2,1,2
2,1,55,5502,2,1,1.01434421539307,131,0.333333343267441,2,2,2,2,1,1978,1,1,1998,1,1,2,2,2,2
2,1,55,5503,3,1,1.01434421539307,131,0.333333343267441,2,1,,,2,,,,,,,,,,
2,1,55,5504,4,1,1.01434421539307,131,0.333333343267441,2,2,2,2,1,1982,2,1,2002,1,1,2,2,2,2
2,1,55,5505,5,1,1.01434421539307,131,0.333333343267441,1,,,,2,,,,,,,,,,
2,1,59,5901,1,1,1.01434421539307,131,0.333333343267441,2,2,2,2,1,1972,1,1,1997,1,1,2,2,2,2
2,1,59,5902,2,1,1.01434421539307,131,0.333333343267441,2,2,2,2,1,1967,2,1,2017,2,2,2,2,2,2
2,1,65,6501,1,0,2.02868843078613,130,0.16666667163372,2,2,2,2,1,1983,2,1,2010,2,2,1,2,2,2
2,1,65,6502,2,0,2.02868843078613,130,0.16666667163372,2,2,2,2,1,1973,2,1,2016,2,2,2,2,2,2
2,1,65,6503,3,0,2.02868843078613,130,0.16666667163372,2,2,2,2,1,-8,1,1,2017,2,2,2,2,2,2
2,1,65,6504,4,0,2.02868843078613,130,0.16666667163372,2,2,2,2,1,-8,1,1,2017,2,2,2,2,2,2
2,1,65,6505,5,0,2.02868843078613,130,0.16666667163372,2,1,,,2,,,,,,,,,,
2,1,65,6506,6,0,2.02868843078613,130,0.16666667163372,2,2,2,2,1,1992,2,2,2017,2,2,2,2,2,2
2,1,69,6901,1,0,2.02868843078613,130,0.16666667163372,2,2,2,2,1,1972,1,1,2007,2,2,1,2,2,2
2,1,69,6902,2,0,2.02868843078613,130,0.16666667163372,2,2,2,2,1,1975,2,1,2012,2,2,1,2,2,2
2,1,69,6903,3,0,2.02868843078613,130,0.16666667163372,2,2,2,2,1,1970,2,1,2015,1,2,1,2,2,2
2,1,69,6904,4,0,2.02868843078613,130,0.16666667163372,2,2,1,,2,,,,,,,,,,
2,1,69,6905,5,0,2.02868843078613,130,0.16666667163372,2,2,2,2,1,-8,2,1,2017,2,2,2,2,2,2
2,1,69,6906,6,0,2.02868843078613,130,0.16666667163372,2,2,2,2,1,-8,2,1,2016,2,2,2,2,2,2
2,1,75,7501,1,1,1.01434421539307,141,0.333333343267441,2,2,2,2,1,1978,1,1,2002,1,1,1,2,1,2
2,1,75,7502,2,1,1.01434421539307,141,0.333333343267441,2,2,2,2,1,1988,2,1,2013,1,1,1,2,2,2
2,1,75,7503,3,1,1.01434421539307,141,0.333333343267441,2,2,2,2,1,1960,2,1,1999,2,2,2,2,2,2
2,1,75,7504,4,1,1.01434421539307,141,0.333333343267441,2,2,2,2,1,1988,2,1,2014,2,2,2,2,2,2
2,1,75,7505,5,1,1.01434421539307,141,0.333333343267441,2,2,2,2,1,1983,2,1,2014,2,2,2,2,2,2
2,1,75,7506,6,1,1.01434421539307,141,0.333333343267441,2,2,2,2,1,1975,2,1,2002,2,2,2,2,2,2
2,1,75,7507,7,1,1.01434421539307,141,0.333333343267441,2,2,2,2,1,1983,1,1,2009,2,2,2,2,2,2
2,1,75,7508,8,1,1.01434421539307,141,0.333333343267441,2,1,,,2,,,,,,,,,,
2,1,76,7601,1,1,1.01434421539307,141,0.333333343267441,2,2,2,2,1,1983,1,1,2017,1,1,2,2,2,2
2,1,76,7602,2,1,1.01434421539307,141,0.333333343267441,2,2,2,2,1,1986,2,1,2015,1,1,2,2,2,2
2,1,76,7603,3,1,1.01434421539307,141,0.333333343267441,2,2,2,2,1,1983,1,1,2009,1,1,2,2,2,2
2,1,76,7604,4,1,1.01434421539307,141,0.333333343267441,2,2,2,2,1,1968,2,1,2001,1,1,2,2,1,2
2,1,76,7605,5,1,1.01434421539307,141,0.333333343267441,2,2,2,2,1,1978,2,1,2016,1,1,2,2,2,2
2,1,76,7606,6,1,1.01434421539307,141,0.333333343267441,2,2,2,2,1,1985,1,1,2016,1,1,2,2,2,2
2,1,76,7607,7,1,1.01434421539307,141,0.333333343267441,2,1,,,2,,,,,,,,,,
2,1,76,7608,8,1,1.01434421539307,141,0.333333343267441,2,2,2,2,1,1978,2,1,1997,1,1,2,2,2,2
2,1,76,7609,9,1,1.01434421539307,141,0.333333343267441,2,1,,,2,,,,,,,,,,
2,1,76,7610,10,1,1.01434421539307,141,0.333333343267441,2,1,,,2,,,,,,,,,,
2,1,76,7611,11,1,1.01434421539307,141,0.333333343267441,2,2,2,2,1,1984,1,2,2006,1,1,2,2,1,2
2,1,76,7612,12,1,1.01434421539307,141,0.333333343267441,2,2,2,2,1,1986,1,2,2006,1,1,2,2,2,2
2,1,76,7613,13,1,1.01434421539307,141,0.333333343267441,2,2,2,2,1,1984,2,1,2016,1,1,2,2,2,2
2,1,76,7614,14,1,1.01434421539307,141,0.333333343267441,2,2,2,2,1,1988,1,1,2016,2,2,2,2,2,2
2,1,76,7615,15,1,1.01434421539307,141,0.333333343267441,2,2,2,2,1,-8,2,1,2010,2,2,2,2,2,2
2,1,78,7801,1,1,1.01434421539307,141,0.333333343267441,2,2,2,2,1,1970,2,1,2006,1,1,1,2,1,1
2,1,78,7802,2,1,1.01434421539307,141,0.333333343267441,2,1,,,2,,,,,,,,,,
2,1,78,7803,3,1,1.01434421539307,141,0.333333343267441,2,2,2,2,1,1980,2,1,2003,2,1,2,2,2,1
2,1,78,7804,4,1,1.01434421539307,141,0.333333343267441,2,2,2,2,1,1985,1,1,2014,1,1,2,2,1,1
2,1,80,8001,1,1,1.01434421539307,141,0.333333343267441,2,2,2,2,1,1984,2,1,-8,1,1,1,2,2,1
2,1,80,8002,2,1,1.01434421539307,141,0.333333343267441,2,2,2,2,1,1980,2,1,2002,1,2,2,2,2,2
2,1,80,8003,3,1,1.01434421539307,141,0.333333343267441,1,,,,2,,,,,,,,,,
2,1,80,8004,4,1,1.01434421539307,141,0.333333343267441,2,2,2,2,1,1974,2,1,2017,2,2,2,2,2,2
2,1,86,8601,1,0,0.929815590381622,140,0.363636374473572,2,2,2,2,1,1967,2,1,2012,2,2,1,2,2,2
2,1,86,8602,2,0,0.929815590381622,140,0.363636374473572,2,2,2,2,1,1962,1,1,2014,2,2,2,2,2,2
2,1,86,8603,3,0,0.929815590381622,140,0.363636374473572,2,2,2,2,1,1988,1,1,2012,2,2,2,2,2,2
2,1,86,8604,4,0,0.929815590381622,140,0.363636374473572,1,,,,2,,,,,,,,,,
2,1,86,8605,5,0,0.929815590381622,140,0.363636374473572,1,,,,2,,,,,,,,,,
2,1,86,8606,6,0,0.929815590381622,140,0.363636374473572,2,2,2,2,1,1981,2,1,2016,2,2,2,2,2,2
2,1,86,8607,7,0,0.929815590381622,140,0.363636374473572,2,2,2,2,1,1987,1,1,2017,2,2,2,2,2,2
2,1,88,8801,1,0,0.929815590381622,140,0.363636374473572,2,2,2,2,1,1975,-8,1,2009,2,2,2,2,1,2
2,1,88,8802,2,0,0.929815590381622,140,0.363636374473572,2,2,2,2,1,1986,1,1,2012,2,2,2,2,2,2
2,1,88,8803,3,0,0.929815590381622,140,0.363636374473572,2,2,2,2,1,1988,1,1,2013,2,2,2,2,2,2
2,1,88,8804,4,0,0.929815590381622,140,0.363636374473572,2,1,,,2,,,,,,,,,,
2,1,88,8805,5,0,0.929815590381622,140,0.363636374473572,2,1,,,2,,,,,,,,,,
2,1,88,8806,6,0,0.929815590381622,140,0.363636374473572,2,2,2,2,1,-8,2,1,2017,2,2,2,2,2,2
